benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,OCaml baseline,runtime,2,18922,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,5,30000,5.941242185,1.188248437,39544,0,,0
SBPF-instruction,OCaml baseline,allocation,2,18962,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,1,6000,0.000000000,0.000000000,39524,1814669088,,0
SBPF-program,OCaml baseline,runtime,3,18964,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,05a1eb687b8b3bb051cde39eb862c54d48e3f7e54f40db38db4f8667d28b32e1,35,5110,5.614239581,0.160406845,9724,0,,0
SBPF-program,OCaml baseline,allocation,3,18994,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,05a1eb687b8b3bb051cde39eb862c54d48e3f7e54f40db38db4f8667d28b32e1,1,146,0.000000000,0.000000000,9084,388769736,,0
SBPF-instruction,OCaml baseline,runtime,3,18996,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,5,30000,5.609657974,1.121931595,39488,0,,0
SBPF-instruction,OCaml baseline,allocation,3,19028,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,1,6000,0.000000000,0.000000000,39572,1814669088,,0
SBPF-program,Case-study baseline,runtime,1,186023,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6afdd662d160ca6c9bcee252020d8009293b7440d24e55205a9ef931452f562,20,2920,0.000952570,0.000047628,25980,0,,0
SBPF-program,Case-study baseline,allocation,1,186690,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,bb433104383926704ad65bc2c6066be6434333cd97a4a6ae7abe520b20a38e9c,20,2920,0.001619445,0.000080972,26000,0,,0
SBPF-instruction,Case-study baseline,runtime,1,186772,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ced7b92d661351576a6a1cc713d6ba85288c3f379f0f608fd351702bcfbf1f01,1,6000,0.002857294,0.002857294,60912,0,,0
SBPF-instruction,Case-study baseline,allocation,1,186862,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,83a976aef619c7c5984afc8a7bef932841b8da1eeaeb6b00d19774081adf4f3f,1,6000,0.003852878,0.003852878,60972,0,,0
SBPF-program,Case-study baseline,runtime,2,186970,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6afdd662d160ca6c9bcee252020d8009293b7440d24e55205a9ef931452f562,20,2920,0.001034952,0.000051748,25964,0,,0
SBPF-program,Case-study baseline,allocation,2,187726,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,bb433104383926704ad65bc2c6066be6434333cd97a4a6ae7abe520b20a38e9c,20,2920,0.000813171,0.000040659,25932,0,,0
SBPF-instruction,Case-study baseline,runtime,2,188393,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ced7b92d661351576a6a1cc713d6ba85288c3f379f0f608fd351702bcfbf1f01,1,6000,0.002120514,0.002120514,60900,0,,0
SBPF-instruction,Case-study baseline,allocation,2,188506,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,83a976aef619c7c5984afc8a7bef932841b8da1eeaeb6b00d19774081adf4f3f,1,6000,0.003713848,0.003713848,61060,0,,0
SBPF-program,Case-study baseline,runtime,3,188632,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6afdd662d160ca6c9bcee252020d8009293b7440d24e55205a9ef931452f562,20,2920,0.002289673,0.000114484,26008,0,,0
SBPF-program,Case-study baseline,allocation,3,189349,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,bb433104383926704ad65bc2c6066be6434333cd97a4a6ae7abe520b20a38e9c,20,2920,0.001896198,0.000094810,26020,0,,0
SBPF-instruction,Case-study baseline,runtime,3,190015,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ced7b92d661351576a6a1cc713d6ba85288c3f379f0f608fd351702bcfbf1f01,1,6000,0.003508093,0.003508093,60824,0,,0
SBPF-instruction,Case-study baseline,allocation,3,190127,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,83a976aef619c7c5984afc8a7bef932841b8da1eeaeb6b00d19774081adf4f3f,1,6000,0.003822467,0.003822467,60908,0,,0
